"","bin","genus_explanation","genus_type","nyslægt","genus_nameing","popup_html","latitude","longitude","city_dk","taxonomy_proposed"
"322","MFD01828.bin.1.81",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Acidoferrum terreus<br/>
     <b>Findested:</b> Moser, kær og højmoser (Nedbrudt højmoser) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.8261,9.912,"Ikke by brugt i navngivning","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum terreus"
"323","MFD03323.bin.1.136",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Acidoferrum simile<br/>
     <b>Findested:</b> Heder og krat (Våd hede) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.459,9.6333,"Ikke by brugt i navngivning","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum simile"
"324","MFD03346.bin.1.1",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Acidoferrum glebicum<br/>
     <b>Findested:</b> Heder og krat (Tør hede) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.2436,9.2692,"Ikke by brugt i navngivning","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum glebicum"
"325","MFD03346.bin.1.51",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Acidoferrum humicum<br/>
     <b>Findested:</b> Heder og krat (Tør hede) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.2436,9.2692,"Ikke by brugt i navngivning","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum humicum"
"326","MFD03399.bin.c.2",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Acidoferrum danicum<br/>
     <b>Findested:</b> Græsland (Artsrig nardus-bjergeng) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",57.18586,9.77493,"Ikke by brugt i navngivning","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum danicum"
"327","MFD04651.bin.1.140",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Aestuariivirga septentrionalis<br/>
     <b>Findested:</b> Ferskvand (Rindende ferskvand) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.1124,9.996,"Ikke by brugt i navngivning","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__Aestuariivirga septentrionalis"
"328","MFD04651.bin.1.151",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Aestuariivirga scandia<br/>
     <b>Findested:</b> Ferskvand (Rindende ferskvand) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.1124,9.996,"Ikke by brugt i navngivning","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__Aestuariivirga scandia"
"329","MFD04651.bin.1.215",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Aestuariivirga nordica<br/>
     <b>Findested:</b> Ferskvand (Rindende ferskvand) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.1124,9.996,"Ikke by brugt i navngivning","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__Aestuariivirga nordica"
"330","MFD01916.bin.1.10",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Allosphingosinicella danica<br/>
     <b>Findested:</b> Klitter (Faste klitter (grå klitter)) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",57.5446,10.4385,"Ikke by brugt i navngivning","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__Allosphingosinicella danica"
"331","MFD09206.bin.1.100",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Allosphingosinicella terrea<br/>
     <b>Findested:</b> Græsland (Tørre sandede kalkgræsmarker) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.90236,10.25672,"Ikke by brugt i navngivning","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__Allosphingosinicella terrea"
